tt,stla,stlo,evla,evlo,dist,evtname,staname,period,weight,vel
11.8876355608,19.417662,-155.284097,19.412033,-155.54704,27.6234907359,TRAD,OBL,2.5,1,2.32371614982795
5.8875,19.155413,-155.462112,19.248378,-155.498982,10.9969584118,WOOD,PPLD,2.5,1,1.8678485625138004
8.2874248477,19.493172,-155.386023,19.390003,-155.293995,14.9606462474,SDH,MLOD,2.5,1,1.805222553728739
8.18735937523,19.39296,-155.109605,19.42476,-155.277582,17.9907369537,UWB,NPOC,2.5,1,2.197379659201121
17.8874341193,19.493172,-155.386023,19.856873,-155.65748,49.3078695192,WAID,MLOD,2.5,1,2.756564702927308
12.4876422211,19.433613,-155.004449,19.427078,-155.267682,27.6537627139,SBL,JOKA,2.5,1,2.214490311643799
10.9874507315,19.391443,-155.324317,19.384045,-155.101578,23.4121055728,JCUZ,CPKD,2.5,1,2.1308041460135674
8.7871281759,19.164518,-155.749057,19.246099,-155.615005,16.7416337019,KHU,HOVE,2.5,1,1.905245191235108
8.08773965197,19.390003,-155.293995,19.38486,-155.12543,17.7162157794,STCD,SDH,2.5,1,2.190502729039344
8.28759309912,19.402438,-155.07508,19.385509,-155.251312,18.6063256961,PUHI,KUPD,2.5,1,2.2450819524519936
7.58777743075,19.493172,-155.386023,19.417662,-155.284097,13.5798271478,OBL,MLOD,2.5,1,1.789697611947182
8.98753611177,19.602682,-155.483002,19.485115,-155.597133,17.6872224192,MOKD,HSSD,2.5,1,1.9679723340456976
6.1873599487,19.296253,-155.30748,19.237503,-155.397507,11.4829916732,HTCD,HLPD,2.5,1,1.8558790450865303
5.8875,19.450382,-155.524977,19.529823,-155.456467,11.3605048075,PLAD,ELEP,2.5,1,1.9295974195329089
37.4875,19.68466,-155.835697,19.7033,-155.080597,79.1974144953,HILB,HUAD,2.5,1,2.112635264962988
23.2873319324,19.68466,-155.835697,19.42476,-155.277582,65.2525769957,UWB,HUAD,2.5,1,2.802063249887083
8.1875,19.856873,-155.65748,19.7573,-155.5326,17.1084863642,POHA,WAID,2.5,1,2.089586120818321
10.8875,19.391443,-155.324317,19.450382,-155.524977,22.0610395749,ELEP,CPKD,2.5,1,2.026272291609644
12.8878236994,19.28123,-155.224645,19.248378,-155.498982,29.0678653372,WOOD,POLD,2.5,1,2.2554518136800144
9.18759617779,19.398242,-155.266032,19.402438,-155.07508,20.0625249683,KUPD,KKO,2.5,1,2.1836533278202777
12.4874623563,19.395368,-155.273643,19.248378,-155.498982,28.7317393609,WOOD,RIMD,2.5,1,2.300846924788099
13.7875442931,19.541178,-155.644036,19.68466,-155.835697,25.6223747896,HUAD,ALEP,2.5,1,1.8583711678389865
7.18735904449,19.412086,-155.259872,19.39296,-155.109605,15.9248470807,NPOC,BYL,2.5,1,2.2156743502202474
11.5873696256,19.237503,-155.397507,19.42476,-155.277582,24.2586987251,UWB,HTCD,2.5,1,2.0935466381865653
7.68736128614,19.39296,-155.109605,19.427078,-155.267682,17.0271924997,SBL,NPOC,2.5,1,2.2149593164561336
10.4873503579,19.402438,-155.07508,19.417662,-155.284097,22.0179385308,OBL,KUPD,2.5,1,2.0994758236730537
18.9875493145,19.296253,-155.30748,19.602682,-155.483002,38.6047297044,HSSD,HLPD,2.5,1,2.033160207511308
17.8872959743,19.39296,-155.109605,19.412033,-155.54704,45.9950082377,TRAD,NPOC,2.5,1,2.571378496994986
21.6877314428,19.285863,-155.129087,19.485115,-155.597133,53.8875791363,MOKD,KAED,2.5,1,2.484703357675976
9.78756506779,19.28123,-155.224645,19.46017,-155.27533,20.5112607569,RSDD,POLD,2.5,1,2.09564489378474
11.187627423,19.493172,-155.386023,19.373785,-155.2155,22.2563154299,PAUD,MLOD,2.5,1,1.9893686649007023
16.2875,19.237503,-155.397507,19.285863,-155.129087,28.7212934264,KAED,HTCD,2.5,1,1.7633948381519569
22.8875510398,19.775885,-155.456039,19.379447,-155.169297,53.2078848547,KNHD,HPUD,2.5,1,2.3247522097132567
29.78773455,19.51702,-154.861137,19.602682,-155.483002,65.9406774646,HSSD,ERZ4,2.5,1,2.213685547449596
5.58764618213,19.423037,-155.26094,19.379447,-155.169297,10.767612621,KNHD,HAT,2.5,1,1.9270390912431403
7.38739520126,19.35369,-155.664418,19.485115,-155.597133,16.1738174858,MOKD,DAND,2.5,1,2.189380295106099
6.68774304827,19.379447,-155.169297,19.420972,-155.291162,13.6007483212,UWE,KNHD,2.5,1,2.033682846819043
24.4874866511,19.398242,-155.266032,19.8868,-155.34,54.6368714506,KKUD,KKO,2.5,1,2.2312159769220603
12.8878249232,19.51702,-154.861137,19.39296,-155.109605,29.4834634759,NPOC,ERZ4,2.5,1,2.2876989446702822
6.0875,19.373785,-155.2155,19.46017,-155.27533,11.4423947003,RSDD,PAUD,2.5,1,1.879654160213552
12.1872438852,19.450382,-155.524977,19.420972,-155.291162,24.768956967,UWE,ELEP,2.5,1,2.0323673834966938
21.8875,19.402438,-155.07508,19.466578,-155.58107,53.6091299833,WILD,KUPD,2.5,1,2.449303482960594
11.8875,19.51702,-154.861137,19.698593,-155.024497,26.4138325195,NAGD,ERZ4,2.5,1,2.221983808159832
21.287160044,19.39296,-155.109605,19.451827,-155.602737,52.1987665371,SWRD,NPOC,2.5,1,2.452124493319284
6.58741596628,19.333395,-155.38565,19.385509,-155.251312,15.24750244,PUHI,DESD,2.5,1,2.314640902904825
8.48773897257,19.38486,-155.12543,19.406623,-155.300005,18.4950323377,WRM,STCD,2.5,1,2.179029350156829
6.38744018698,19.296253,-155.30748,19.385509,-155.251312,11.508806862,PUHI,HLPD,2.5,1,1.8017870265868423
10.3871855877,19.529823,-155.456467,19.406623,-155.300005,21.3508529422,WRM,PLAD,2.5,1,2.0554993228851752
10.4878526877,19.285863,-155.129087,19.390003,-155.293995,20.8124186022,SDH,KAED,2.5,1,1.984430867017088
9.68760465969,19.237503,-155.397507,19.28123,-155.224645,18.806184245,POLD,HTCD,2.5,1,1.9412625623805948
11.9870909341,19.450382,-155.524977,19.406623,-155.300005,24.1179155531,WRM,ELEP,2.5,1,2.0119907061429827
7.68762420464,19.285863,-155.129087,19.373785,-155.2155,13.3108862195,PAUD,KAED,2.5,1,1.7314694195725622
10.7876842706,19.285863,-155.129087,19.42476,-155.277582,21.9047995118,UWB,KAED,2.5,1,2.030537691161189
11.6871890086,19.493172,-155.386023,19.451827,-155.602737,23.2088215212,SWRD,MLOD,2.5,1,1.9858343613782428
